236 43832986 267283.9 1413580 314 580 1136 22295 1097648 7119634 
250 21234966 254123.2 1060556 328 635.9 1252 47138.6 1728327 5607226 
252 12209922 225569.9 853790.2 326 722 1270.6 317861.8 1605163 4369442 
250 19790968 291019.2 1112530 332 756 1406 451750.4 2037022 5809236 
108 30751634 585175.8 1859807 444 896 1714 1646754 3993089 9392827 
246 13035942 275271 737665.8 454 1070 2111 969781 1800344 3554229 
108 41148922 720165.3 2470763 436 859.9 1681.8 1721437 5228861 12569810 
258 20847208 323090.8 1085216 458 992.3 1966 885879.2 2312314 5543371 
76 21017600 541134 1465683 337.74 1062 2314 1884064 3577278 7305580 
260 32051780 559098.4 1813672 324 830 1778.2 1662594 3934402 9145155 
64 34375772 697220.8 2191383 298 864 1792 2223178 4813022 11172163 
218 34727934 707839.4 2143414 292 850 1798 2281921 4863195 10869728 
68 34963424 636740.6 2150789 298 838 1814 1703084 4614479 11102988 
158 31534550 666176.3 1984634 318 974 2038 2205159 4486154 9970967 
68 35441580 719350.8 2235748 288 826 1804 2318908 4983542 11088743 
204 30682220 725253.3 2203060 317.1 972 1992 2406221 4917738 10953886 
70 33542838 770096.4 2335983 291.58 880 1944 2536520 5240430 11858987 
210 43268236 775325.4 2300721 302 896 1974.6 2619655 5244085 11706224 
68 40732260 849491.1 2587225 302 824.7 1854 2811100 5754184 12941908 
114 43458708 867131.4 2695900 306 884 2054 2790976 5923218 13777073 
70 42356272 883260 2675455 302 857.5 1990 2888306 6025790 13285292 
148 58755406 968380 2918111 312 1046 2224 3216026 6584203 14550099 
70 56881710 1001306 3209428 312 982 2186 3112176 7033020 16093760 
198 62662544 1033175 3201661 320 1080 2260 3362443 7055470 16249145 
72 54150984 1146544 3565812 318 1108 2396 3714524 7885034 18066948 
214 53832478 1023843 3318226 320 1052 2274 3148382 7236346 16751449 
76 67897296 1189300 3843819 306 1070 2347.8 3711644 8385250 19737147 
102 94890424 1262024 4363450 302.86 1134.3 2482 3316178 9002824 22774882 
78 89351694 1247712 4313994 324 1144 2523.4 3469733 8934956 21250170 
116 70825566 1117969 4018155 324 1140 2518 2643156 7957307 21104510 
82 87747032 1517844 4961577 328 1316 2914 4560317 10626528 25689958 
114 96682540 1401606 5084528 324 1314 3027.8 3278226 9879192 26183051 
86 106742228 1513120 5089480 335.26 1290 2792 4307119 10945274 25758877 
126 110313626 1448021 5213804 328 1292 2884 3537495 10232467 26907093 
88 149701498 2304075 8585234 320 1130 2512 4348102 16625065 44975354 
240 129046258 1422817 5346351 324 1156 2716 2904746 10208060 27632088 
232 113628508 2156784 7241083 340 1253.8 2808 6137264 15123375 36516985 
122 104793700 1609615 5309157 336 1344 2930 4814367 11436781 27317509 
98 123054044 2105149 7119819 340 1380 3007.4 5604774 15447839 36878300 
188 95376366 1464275 4659026 340 1413.1 3068 4595798 10347011 23574566 
